0.005,76.0
0.01,60.5
0.015,64.1
0.02,62.8
0.025,63.9
0.03,63.0
0.035,61.1
0.04,62.5
0.045,60.4
0.05,61.0
0.055,61.3
0.06,59.9
0.065,60.1
0.07,60.2
0.075,60.3
0.08,59.9
0.085,62.1
0.09,60.3
0.095,62.1
0.1,68.7
0.105,77.8
0.11,65.7
0.115,60.5
0.12,63.7
0.125,61.5
0.13,63.0
0.135,62.2
0.14,61.1
0.145,59.9
0.15,60.2
0.155,62.5
0.16,61.3
0.165,68.0
0.17,60.4
0.175,60.3
0.18,60.0
0.185,61.2
0.19,60.4
0.195,59.8
0.2,59.9
0.205,60.8
0.21,60.0
0.215,61.5
0.22,60.7
0.225,60.4
0.23,60.5
0.235,61.5
0.24,60.1
0.245,61.2
0.25,60.7
